,A1,A2,A3,A4,A5,A6,A7,A8,A9
OTU000003,18634,13116,2701,4229,34747,17196,15673,5757,1409
OTU000005,22463,12738,2053,9242,10132,17860,26941,5728,432
OTU000002,5348,11652,16535,14373,2322,2939,1776,14115,10645
OTU000006,832,2220,32124,3548,4182,832,795,5496,18032
OTU000011,6014,6537,452,2223,14413,10319,6727,1140,613
OTU000010,7795,4717,1628,2256,9455,7399,4572,2208,338
OTU000004,1702,1911,3025,5642,582,803,864,3894,7082
OTU000014,174,379,2771,289,165,526,1131,9123,10492
OTU000007,808,2730,703,4012,439,872,1840,6157,4251
OTU000019,1712,3987,30,45,4253,2186,4440,940,74
OTU000012,370,1723,4248,443,185,316,1312,1388,6733
OTU000049,61,1261,1517,11062,7,52,21,29,2276
OTU000022,2325,1189,892,336,1210,3871,4482,1380,157
OTU000024,2437,1284,76,95,526,3461,4174,1346,204
OTU000013,462,1006,1159,3494,445,412,347,2630,2360
OTU000009,581,670,1550,877,558,740,443,3607,2817
OTU000021,2949,1300,849,18,1479,1510,2074,1469,86
OTU000041,3246,2947,116,78,2278,1548,745,226,58
OTU000016,1049,1825,3568,3764,47,32,160,118,191
OTU000036,1260,1580,26,1778,618,1426,1919,795,47
OTU000001,1203,1270,1866,1547,119,203,1194,752,1078
OTU000020,345,207,975,712,377,489,270,2381,3200
OTU000076,0,2,1,0,5,0,47,7697,87
OTU000039,713,1608,74,74,2679,1456,818,353,44
OTU000015,387,738,1526,1358,257,529,262,1643,1016
OTU000074,983,238,38,2421,320,1210,757,560,38
OTU000046,1281,641,6,12,6,2362,1316,673,13
OTU000043,36,6,50,270,36,73,79,158,4650
OTU000023,705,960,1126,2116,86,78,20,9,16
OTU000085,597,2172,24,30,121,679,1109,37,54
OTU000008,503,316,1507,754,145,103,156,380,769
OTU000025,322,471,713,749,74,176,87,828,792
OTU000053,463,1,13,13,129,555,2191,768,33
OTU000034,262,20,1119,395,45,69,77,1338,747
OTU000056,80,68,672,1067,61,44,101,1308,613
OTU000042,132,142,118,1691,109,129,79,559,856
OTU000066,538,987,449,807,197,62,65,301,389
OTU000055,853,165,709,1535,146,48,142,15,138
OTU000018,94,290,858,604,146,176,89,885,442
OTU000071,56,6,260,534,3,1,7,10,2562
OTU000059,437,5,5,10,436,1039,1410,50,18
OTU000045,40,475,32,86,1440,285,481,179,220
OTU000115,426,168,875,1095,46,53,5,2,78
OTU000192,5,0,0,0,0,0,17,5,2681
OTU000072,19,13,15,10,386,966,1089,41,61
OTU000150,341,1099,14,14,13,719,243,79,12
OTU000159,252,15,6,1712,2,201,18,2,285
OTU000035,117,67,1461,72,16,344,53,158,191
OTU000081,75,15,22,251,438,889,503,185,34
OTU000032,32,12,538,347,190,113,68,673,390
OTU000199,1,13,11,2244,0,0,0,0,0
OTU000047,423,79,437,9,315,415,182,204,177
OTU000180,45,1345,9,6,491,197,24,1,0
OTU000142,127,2,4,1,793,910,263,1,1
OTU000127,9,399,592,705,2,2,5,110,1
OTU000102,514,102,16,6,102,710,292,11,10
OTU000050,29,546,18,9,32,5,64,426,617
OTU000048,350,596,274,41,11,36,59,61,115
OTU000109,2,1,3,4,9,787,653,57,8
OTU000026,36,6,16,47,21,150,80,542,565
OTU000065,116,533,83,56,4,5,31,314,293
OTU000040,3,282,671,17,23,4,30,91,297
OTU000058,41,404,273,85,3,59,12,4,532
OTU000263,1,1211,10,6,0,109,73,1,0
OTU000156,518,6,12,12,13,377,411,22,19
OTU000251,129,7,85,1133,2,1,0,0,1
OTU000119,57,106,540,520,12,0,0,0,99
OTU000321,1294,3,7,4,5,9,0,0,5
OTU000106,40,186,417,425,1,1,14,11,225
OTU000099,11,107,8,2,18,135,45,465,453
OTU000131,32,5,437,514,72,0,1,151,3
OTU000258,2,1175,3,2,0,0,0,0,0
OTU000100,26,31,174,756,1,1,24,50,80
OTU000146,10,6,4,7,12,764,317,10,10
OTU000084,146,348,522,84,6,9,8,5,8
OTU000214,1,0,2,3,513,424,172,7,0
OTU000280,2,3,3,1,4,870,212,0,2
