source,target
C12H12O5,C16H20O7
C12H12O5,C17H22O8
C12H12O5,C17H20O8
C12H12O5,C18H22O8
C12H12O5,C18H24O8
C12H12O5,C18H20O8
C12H12O5,C15H18O7
C12H12O5,C16H20O9
C12H12O5,C17H20O9
C11H12O6,C15H20O8
C11H12O6,C16H22O9
C11H12O6,C16H20O9
C11H12O6,C17H22O9
C11H12O6,C17H24O9
C11H12O6,C17H20O9
C11H12O6,C14H18O8
C11H12O6,C15H20O10
C11H12O6,C15H18O8
C11H12O6,C16H20O10
C10H12O7,C14H20O9
C10H12O7,C15H22O10
C10H12O7,C15H20O10
C10H12O7,C16H22O10
C10H12O7,C16H24O10
C10H12O7,C16H20O10
C10H12O7,C14H20O11
C10H12O7,C14H18O9
C10H12O7,C15H20O11
C10H14O7,C14H22O9
C10H14O7,C15H24O10
C10H14O7,C15H22O10
C10H14O7,C16H24O10
C10H14O7,C16H26O10
C10H14O7,C16H22O10
C10H14O7,C13H20O9
C10H14O7,C14H20O9
C10H14O7,C15H22O11
C11H12O7,C15H20O9
C11H12O7,C16H22O10
C11H12O7,C16H20O10
C11H12O7,C17H22O10
C11H12O7,C17H24O10
C11H12O7,C17H20O10
C11H12O7,C14H18O9
C11H12O7,C15H20O11
C11H12O7,C15H18O9
C11H12O7,C16H20O11
C11H14O7,C15H22O9
C11H14O7,C16H24O10
C11H14O7,C16H22O10
C11H14O7,C17H24O10
C11H14O7,C17H26O10
C11H14O7,C17H22O10
C11H14O7,C14H20O9
C11H14O7,C15H22O11
C11H14O7,C15H20O9
C11H14O7,C16H22O11
C9H10O7S1,C13H18O9S1
C9H10O7S1,C14H20O10S1
C9H10O7S1,C14H18O10S1
C9H10O7S1,C15H20O10S1
C9H10O7S1,C15H22O10S1
C9H10O7S1,C15H18O10S1
C9H10O7S1,C12H16O9S1
C9H10O7S1,C13H16O9S1
C9H10O7S1,C14H18O11S1
C14H25O4N1,C18H33O6N1
C14H25O4N1,C19H33O7N1
C14H25O4N1,C20H35O7N1
C14H25O4N1,C20H37O7N1
C14H25O4N1,C20H33O7N1
C14H25O4N1,C17H31O6N1
C14H25O4N1,C18H33O8N1
C14H25O4N1,C18H31O6N1
C14H25O4N1,C19H33O8N1
C11H12O8,C15H20O10
C11H12O8,C16H22O11
C11H12O8,C16H20O11
C11H12O8,C17H22O11
C11H12O8,C17H24O11
C11H12O8,C17H20O11
C11H12O8,C14H18O10
C11H12O8,C15H20O12
C11H12O8,C15H18O10
C11H12O8,C16H20O12
C11H14O8,C15H22O10
C11H14O8,C16H24O11
C11H14O8,C16H22O11
C11H14O8,C17H24O11
C11H14O8,C17H26O11
C11H14O8,C17H22O11
C11H14O8,C14H20O10
C11H14O8,C15H20O10
C11H14O8,C16H22O12
C11H12O9,C15H20O11
C11H12O9,C16H22O12
C11H12O9,C16H20O12
C11H12O9,C17H22O12
C11H12O9,C17H24O12
C11H12O9,C17H20O12
C11H12O9,C14H18O11
C11H12O9,C15H18O11
C11H12O9,C16H20O13
C15H23O5N1,C19H31O7N1
C15H23O5N1,C20H33O8N1
C15H23O5N1,C20H31O8N1
C15H23O5N1,C21H33O8N1
C15H23O5N1,C21H35O8N1
C15H23O5N1,C21H31O8N1
C15H23O5N1,C18H29O7N1
C15H23O5N1,C19H29O7N1
C15H23O5N1,C20H31O9N1
C12H14O9,C16H22O11
C12H14O9,C17H24O12
C12H14O9,C17H22O12
C12H14O9,C18H24O12
C12H14O9,C18H26O12
C12H14O9,C18H22O12
C12H14O9,C15H20O11
C12H14O9,C16H20O11
C12H14O9,C17H22O13
C15H24O3N4,C19H32O5N4
C15H24O3N4,C20H34O6N4
C15H24O3N4,C20H32O6N4
C15H24O3N4,C21H34O6N4
C15H24O3N4,C21H36O6N4
C15H24O3N4,C21H32O6N4
C15H24O3N4,C18H30O5N4
C15H24O3N4,C19H32O7N4
C15H24O3N4,C20H32O7N4
C16H27O5N1,C20H35O7N1
C16H27O5N1,C21H37O8N1
C16H27O5N1,C21H35O8N1
C16H27O5N1,C22H37O8N1
C16H27O5N1,C22H39O8N1
C16H27O5N1,C22H35O8N1
C16H27O5N1,C19H33O7N1
C16H27O5N1,C20H33O7N1
C16H27O5N1,C21H35O9N1
C16H20O4N4,C20H28O6N4
C16H20O4N4,C21H30O7N4
C16H20O4N4,C21H28O7N4
C16H20O4N4,C22H30O7N4
C16H20O4N4,C22H32O7N4
C16H20O4N4,C22H28O7N4
C16H20O4N4,C20H28O8N4
C16H20O4N4,C20H26O6N4
C16H20O4N4,C21H28O8N4
C16H15O7N1,C20H23O9N1
C16H15O7N1,C21H25O10N1
C16H15O7N1,C21H23O10N1
C16H15O7N1,C22H25O10N1
C16H15O7N1,C22H27O10N1
C16H15O7N1,C22H23O10N1
C16H15O7N1,C20H23O11N1
C16H15O7N1,C20H21O9N1
C16H15O7N1,C21H23O11N1
C16H17O7N1,C20H25O9N1
C16H17O7N1,C21H27O10N1
C16H17O7N1,C21H25O10N1
C16H17O7N1,C22H27O10N1
C16H17O7N1,C22H29O10N1
C16H17O7N1,C22H25O10N1
C16H17O7N1,C19H23O9N1
C16H17O7N1,C20H25O11N1
C16H17O7N1,C20H23O9N1
C16H17O7N1,C21H25O11N1
C15H24O5N4,C19H32O7N4
C15H24O5N4,C20H34O8N4
C15H24O5N4,C20H32O8N4
C15H24O5N4,C21H34O8N4
C15H24O5N4,C21H36O8N4
C15H24O5N4,C21H32O8N4
C15H24O5N4,C18H30O7N4
C15H24O5N4,C19H32O9N4
C15H24O5N4,C19H30O7N4
C15H24O5N4,C20H32O9N4
C17H20O4N4,C21H28O6N4
C17H20O4N4,C22H30O7N4
C17H20O4N4,C22H28O7N4
C17H20O4N4,C23H30O7N4
C17H20O4N4,C23H32O7N4
C17H20O4N4,C20H26O6N4
C17H20O4N4,C21H28O8N4
C17H20O4N4,C21H26O6N4
C17H20O4N4,C22H28O8N4
C17H15O7N1,C21H23O9N1
C17H15O7N1,C22H25O10N1
C17H15O7N1,C22H23O10N1
C17H15O7N1,C23H25O10N1
C17H15O7N1,C23H23O10N1
C17H15O7N1,C20H21O9N1
C17H15O7N1,C21H23O11N1
C17H15O7N1,C21H21O9N1
C17H15O7N1,C22H23O11N1
C17H22O4N4,C21H30O6N4
C17H22O4N4,C22H32O7N4
C17H22O4N4,C22H30O7N4
C17H22O4N4,C23H32O7N4
C17H22O4N4,C23H34O7N4
C17H22O4N4,C23H30O7N4
C17H22O4N4,C20H28O6N4
C17H22O4N4,C21H28O6N4
C17H22O4N4,C22H30O8N4
C16H15O8N1,C20H23O10N1
C16H15O8N1,C21H25O11N1
C16H15O8N1,C21H23O11N1
C16H15O8N1,C22H25O11N1
C16H15O8N1,C22H23O11N1
C16H15O8N1,C19H21O10N1
C16H15O8N1,C20H23O12N1
C16H15O8N1,C20H21O10N1
C16H15O8N1,C21H23O12N1
C18H14O8,C22H22O10
C18H14O8,C23H24O11
C18H14O8,C23H22O11
C18H14O8,C24H24O11
C18H14O8,C24H26O11
C18H14O8,C24H22O11
C18H14O8,C21H20O10
C18H14O8,C22H22O12
C18H14O8,C22H20O10
C18H14O8,C23H22O12
C18H22O5N4,C22H30O7N4
C18H22O5N4,C23H32O8N4
C18H22O5N4,C23H30O8N4
C18H22O5N4,C24H32O8N4
C18H22O5N4,C24H34O8N4
C18H22O5N4,C21H28O7N4
C18H22O5N4,C22H30O9N4
