molecular weight,molecular formula,strength
160.037175,C6H8O5,3747200.0
196.037175,C9H8O5,35242500.0
200.08373,C13H12O2,6547670.0
204.04226,C11H8O4,37048652.0
206.021525,C10H6O5,40080428.0
206.05791,C11H10O4,36029540.0
208.037175,C10H8O5,40451188.0
208.07356,C11H12O4,30157134.0
210.052825,C10H10O5,35763624.0
210.08921,C11H14O4,30414606.0
212.068475,C10H12O5,30976750.0
214.084125,C10H14O5,25974626.0
218.05791,C12H10O4,37151772.0
220.037175,C11H8O5,49248988.0
220.07356,C12H12O4,39274320.0
222.01644,C10H6O6,48241712.0
222.052825,C11H10O5,47010968.0
222.08921,C12H14O4,39567828.0
224.03209,C10H8O6,55413916.0
224.068475,C11H12O5,42736492.00000001
224.10486,C12H16O4,37564148.0
226.084125,C11H14O5,45148612.0
228.06339,C10H12O6,34322040.0
228.099775,C11H16O5,36355892.0
228.11503,C15H16O2,3883506.0
230.07904,C10H14O6,27973380.0
232.037175,C12H8O5,39489828.0
232.07356,C13H12O4,34622128.0
234.052825,C12H10O5,50179020.0
234.08921,C13H14O4,35876128.0
236.03209,C11H8O6,50996896.0
236.068475,C12H12O5,54296888.0
236.10486,C13H16O4,38580192.0
238.011355,C10H6O7,33811712.0
238.04774,C11H10O6,56989740.0
238.084125,C12H14O5,57489284.0
238.12051,C13H18O4,30665156.0
240.027005,C10H8O7,37235060.0
240.06339,C11H12O6,50997072.0
240.099775,C12H16O5,64043324.0
242.07904,C11H14O6,62852024.0
242.115425,C12H18O5,28084924.0
244.037175,C13H8O5,27568504.0
244.07356,C14H12O4,24806632.0
244.09469,C11H16O6,42639852.00000001
246.052825,C13H10O5,46116584.0
246.08921,C14H14O4,28016444.0
248.03209,C12H8O6,52472148.0
248.068475,C13H12O5,59895680.0
248.10486,C14H16O4,31838736.0
250.011355,C11H6O7,31764064.0
250.04774,C12H10O6,68764896.0
250.084125,C13H14O5,61225256.0
250.12051,C14H18O4,35881900.0
252.027005,C11H8O7,50145284.0
252.06339,C12H12O6,70119864.0
252.078645,C16H12O3,6496484.0
252.099775,C13H16O5,75553240.0
252.13616,C14H20O4,24010090.0
254.042655,C11H10O7,48007368.0
254.07904,C12H14O6,92064432.0
254.115425,C13H18O5,62646780.0
256.058305,C11H12O7,51870728.0
256.09469,C12H16O6,108745736.0
258.052825,C14H10O5,38273516.0
258.073955,C11H14O7,60736904.0
258.11034,C12H18O6,44145512.0
259.995705,C12H4O7,3813073.0
260.03209,C13H8O6,41067224.0
260.068475,C14H12O5,47872524.0
260.089605,C11H16O7,28550278.0
260.10486,C15H16O4,24595656.0
262.011355,C12H6O7,22326754.0
262.04774,C13H10O6,67840592.0
262.084125,C14H14O5,54245612.0
262.12051,C15H18O4,27921608.0
264.027005,C12H8O7,57261128.0
264.06339,C13H12O6,78936816.0
264.099775,C14H16O5,67971976.0
264.13616,C15H20O4,27312830.0
266.042655,C12H10O7,71329584.0
266.07904,C13H14O6,92413816.0
266.115425,C14H18O5,80808160.0
268.02192,C11H8O8,37123976.0
268.058305,C12H12O7,76283512.0
268.09469,C13H16O6,138299760.0
