molecular weight,molecular formula,strength
202.084125,C9H14O5,4364061.0
210.01644,C9H6O6,10895750.0
216.099775,C10H16O5,4241135.0
218.05791,C12H10O4,3768201.0
220.037175,C11H8O5,4221078.0
222.08921,C12H14O4,4349408.0
224.03209,C10H8O6,25936906.0
224.068475,C11H12O5,3630374.0
226.011355,C9H6O7,6706820.0
226.084125,C11H14O5,3635121.0
232.037175,C12H8O5,3799197.0
232.07356,C13H12O4,3894106.0
234.052825,C12H10O5,4908073.0
234.08921,C13H14O4,4509530.0
236.068475,C12H12O5,4545630.0
236.10486,C13H16O4,4744343.0
238.011355,C10H6O7,14568151.0
238.04774,C11H10O6,3669547.0
238.084125,C12H14O5,5122827.0
238.12051,C13H18O4,3916105.0
240.027005,C10H8O7,16565966.0
240.099775,C12H16O5,5930634.0
242.07904,C11H14O6,4648367.999999999
243.183444,C13H25O3N1,3821292.0
246.052825,C13H10O5,4720569.0
246.08921,C14H14O4,4651312.000000001
248.03209,C12H8O6,4191626.0
248.068475,C13H12O5,5688669.0
248.10486,C14H16O4,4887061.999999999
250.04774,C12H10O6,5145220.000000001
250.084125,C13H14O5,7028159.0
250.12051,C14H18O4,4351394.000000001
252.027005,C11H8O7,24296566.0
252.06339,C12H12O6,5716243.0
252.099775,C13H16O5,7974627.0
254.00627,C10H6O8,4925597.0
254.07904,C12H14O6,8065280.0
254.115425,C13H18O5,6393746.0
256.02192,C10H8O8,7650616.0
256.058305,C11H12O7,3932544.0
256.09469,C12H16O6,9592460.0
258.052825,C14H10O5,4952230.0
258.073955,C11H14O7,4482403.999999999
260.03209,C13H8O6,4089376.0
260.068475,C14H12O5,5288866.000000001
260.10486,C15H16O4,3964230.0
262.04774,C13H10O6,7055571.0
262.084125,C14H14O5,6620704.0
262.12051,C15H18O4,4544830.999999999
264.027005,C12H8O7,4176906.0
264.06339,C13H12O6,7212703.0
264.099775,C14H16O5,8840262.0
264.13616,C15H20O4,4158763.0
266.042655,C12H10O7,4894698.0
266.07904,C13H14O6,9611215.000000002
266.115425,C14H18O5,10138807.0
268.02192,C11H8O8,16874748.0
268.058305,C12H12O7,5749468.0
268.09469,C13H16O6,13772869.0
268.131075,C14H20O5,6307291.0
270.073955,C12H14O7,9467680.0
270.11034,C13H18O6,11535679.0
272.03209,C14H8O6,3879051.0
272.068475,C15H12O5,4732861.999999999
272.089605,C12H16O7,9862575.0
274.04774,C14H10O6,5976954.0
274.084125,C15H14O5,5596932.0
276.08452,C11H16O8,4559610.0
276.027005,C13H8O7,4459259.0
276.06339,C14H12O6,7610809.0
276.099775,C15H16O5,7102263.0
278.042655,C13H10O7,6302034.0
278.07904,C14H14O6,11261898.0
278.115425,C15H18O5,9076347.0
280.058305,C13H12O7,8443314.999999998
280.09469,C14H16O6,15082204.0
280.131075,C15H20O5,8589094.0
282.001185,C11H6O9,4314146.0
282.03757,C12H10O8,3811730.0
282.073955,C13H14O7,12114286.0
282.11034,C14H18O6,18993444.0
282.146725,C15H22O5,4564603.999999999
284.016835,C11H8O9,7807088.999999999
284.05322,C12H12O8,5084140.0
284.068475,C16H12O5,4205733.999999999
284.089605,C13H16O7,21143064.0
284.12599,C14H20O6,11597931.0
286.04774,C15H10O6,5029860.000000001
286.06887,C12H14O8,7927100.0
286.084125,C16H14O5,5282468.0
286.105255,C13H18O7,15220310.0
288.027005,C14H8O7,3618355.0
288.06339,C15H12O6,6777023.0
288.08452,C12H16O8,5332505.999999999
288.099775,C16H16O5,5535285.0
290.042655,C14H10O7,7210023.0
290.07904,C15H14O6,9072602.0
290.115425,C16H18O5,6669368.0
292.02192,C13H8O8,3672159.0
292.058305,C14H12O7,10441135.0
292.09469,C15H16O6,12264168.0
292.131075,C16H20O5,7842107.0
294.03757,C13H10O8,6219443.0
294.073955,C14H14O7,13131326.0
294.11034,C15H18O6,18800266.0
294.146725,C16H22O5,6203337.0
296.016835,C12H8O9,13257728.0
296.05322,C13H12O8,7868992.0
296.089605,C14H16O7,24093288.0
296.12599,C15H20O6,20066074.0
298.04774,C16H10O6,3965640.0
298.06887,C13H14O8,14875117.0
298.084125,C17H14O5,3758932.0
298.105255,C14H18O7,29566858.0
298.14164,C15H22O6,9651004.0
300.06339,C16H12O6,5805219.0
300.08452,C13H16O8,19178584.0
300.099775,C17H16O5,4135710.0
300.120905,C14H20O7,14500799.0
302.042655,C15H10O7,6623624.0
302.07904,C16H14O6,7389814.000000001
302.10017,C13H18O8,10323989.0
302.115425,C17H18O5,5157794.999999999
304.058305,C15H12O7,9725429.999999998
304.09469,C16H16O6,9411151.0
304.131075,C17H20O5,6409225.0
306.03757,C14H10O8,7287165.0
306.073955,C15H14O7,12703201.0
306.11034,C16H18O6,13965148.0
306.146725,C17H22O5,6367532.0
308.05322,C14H12O8,10605667.0
308.089605,C15H16O7,21821580.0
308.12599,C16H20O6,16904900.0
308.162375,C17H24O5,3983004.0
310.032485,C13H10O9,3942168.0
310.06887,C14H14O8,16696918.0
310.105255,C15H18O7,34573212.0
310.14164,C16H22O6,12773694.0
312.01175,C12H8O10,5185846.0
312.048135,C13H12O9,5523972.0
312.06339,C17H12O6,4773959.000000001
312.08452,C14H16O8,27761242.0
312.120905,C15H20O7,28242586.0
312.15729,C16H24O6,4279849.0
312.175916,C17H28O3S1,7075377.0
314.042655,C16H10O7,5918205.0
314.0637850000001,C13H14O9,10051653.0
314.07904,C17H14O6,6075308.0
314.10017,C14H18O8,29659156.0
314.136555,C15H22O7,12508213.0
316.058305,C16H12O7,8202920.000000001
316.079435,C13H16O9,9354244.0
316.09469,C17H16O6,7262643.999999999
316.11582,C14H20O8,12487694.0
316.131075,C18H20O5,4022467.0
318.03757,C15H10O8,7084565.0
318.073955,C16H14O7,10885922.0
318.11034,C17H18O6,9548479.000000002
318.146725,C18H22O5,5576569.0
320.05322,C15H12O8,12197986.0
320.089605,C16H16O7,16186814.0
320.12599,C17H20O6,12801039.0
320.162375,C18H24O5,4589376.0
322.032485,C14H10O9,6664200.0
322.06887,C15H14O8,17239342.0
322.105255,C16H18O7,23625126.0
322.14164,C17H22O6,13902114.0
324.01175,C13H8O10,10462815.0
324.048135,C14H12O9,10173545.0
324.08452,C15H16O8,28621042.0
324.120905,C16H20O7,33459862.0
324.15729,C17H24O6,8441131.999999998
326.042655,C17H10O7,3906116.0
326.0637850000001,C14H14O9,15855641.0
326.07904,C18H14O6,4311253.0
326.10017,C15H18O8,47133444.0
326.136555,C16H22O7,25765522.0
326.191566,C18H30O3S1,7637219.000000001
326.10017,C15H18O8,4548107.0
326.10017,C15H18O8,4548107.0
328.058305,C17H12O7,6646806.0
328.079435,C14H16O9,23406564.0
328.09469,C18H16O6,5048238.0
328.11582,C15H20O8,37673696.0
328.152205,C16H24O7,6836026.0
328.11582,C15H20O8,3720220.0
328.11582,C15H20O8,3720220.0
330.03757,C16H10O8,6118138.0
330.073955,C17H14O7,9223423.999999998
330.095085,C14H18O9,18832346.0
330.11034,C18H18O6,7207966.0
330.13147,C15H22O8,12249895.0
330.146725,C19H22O5,3743622.0
332.05322,C16H12O8,11201816.0
332.089605,C17H16O7,12931839.0
332.110735,C14H20O9,5716112.0
332.12599,C18H20O6,9237760.0
332.162375,C19H24O5,3831640.0
334.032485,C15H10O9,6314261.0
334.06887,C16H14O8,16889370.0
334.105255,C17H18O7,16890812.0
334.14164,C18H22O6,11924326.0
336.048135,C15H12O9,13198901.0
336.08452,C16H16O8,24072386.0
336.120905,C17H20O7,26175720.0
336.15729,C18H24O6,11630183.0
338.0274,C14H10O10,3757036.0
338.0637850000001,C15H14O9,18471732.0
338.10017,C16H18O8,37804719.99999999
338.136555,C17H22O7,30481266.0
338.17294,C18H26O6,5608095.0
340.04305,C14H12O10,6808140.0
340.058305,C18H12O7,4902026.0
340.079435,C15H16O9,31997976.0
340.09469,C19H16O6,3593884.0
340.11582,C16H20O8,50400176.0
340.152205,C17H24O7,17000616.0
340.207216,C19H32O3S1,6184296.0
342.022315,C13H10O11,6170652.0
340.079435,C15H16O9,4019756.0
340.079435,C15H16O9,4019756.0
340.11582,C16H20O8,4640224.0
340.11582,C16H20O8,4640224.0
340.11582,C16H20O8,3994847.0
340.11582,C16H20O8,3994847.0
342.03757,C17H10O8,5165609.0
342.0587,C14H14O10,10288936.0
342.073955,C18H14O7,6122083.0
342.095085,C15H18O9,42173248.0
342.11034,C19H18O6,4267463.0
342.13147,C16H22O8,29733110.0
342.167855,C17H26O7,3828792.0
342.095085,C15H18O9,4555492.0
342.095085,C15H18O9,4555492.0
344.05322,C17H12O8,8346634.0
344.07435,C14H16O10,11204445.0
344.089605,C18H16O7,8502380.000000002
344.110735,C15H20O9,25975808.0
344.12599,C19H20O6,6791979.0
344.14712,C16H24O8,8533596.0
346.032485,C16H10O9,6614811.0
346.06887,C17H14O8,12553805.0
346.09,C14H18O10,6774674.0
346.105255,C18H18O7,12219239.0
346.126385,C15H22O9,5954888.0
346.14164,C19H22O6,9078268.0
348.048135,C16H12O9,13671240.0
348.08452,C17H16O8,19062074.0
348.120905,C18H20O7,19332094.0
348.15729,C19H24O6,10216464.0
350.0274,C15H10O10,6048777.0
350.0637850000001,C16H14O9,21843284.0
350.10017,C17H18O8,29683208.0
350.136555,C18H22O7,25632792.0
350.17294,C19H26O6,7445811.0
352.04305,C15H12O10,11018037.0
352.079435,C16H16O9,27839780.0
352.11582,C17H20O8,43686036.0
352.152205,C18H24O7,24245486.0
352.18859,C19H28O6,3802196.0
352.11582,C17H20O8,3653646.0
352.11582,C17H20O8,3653646.0
352.11582,C17H20O8,3767300.0
352.11582,C17H20O8,3767300.0
354.03757,C18H10O8,4228558.0
354.0587,C15H14O10,16780884.0
354.073955,C19H14O7,4454785.0
354.095085,C16H18O9,44838424.0
354.13147,C17H22O8,44546100.0
354.167855,C18H26O7,10189122.0
354.095085,C16H18O9,3726043.0
354.095085,C16H18O9,3726043.0
354.13147,C17H22O8,4401795.0
354.13147,C17H22O8,4401795.0
354.13147,C17H22O8,3895570.0
354.13147,C17H22O8,3895570.0
356.05322,C18H12O8,6376974.0
356.07435,C15H16O10,23960050.0
356.089605,C19H16O7,6161101.0
356.110735,C16H20O9,47175536.0
356.12599,C20H20O6,4030679.0
356.14712,C17H24O8,21248610.0
356.110735,C16H20O9,4829937.0
356.110735,C16H20O9,4829937.0
358.032485,C17H10O9,6522115.0
358.06887,C18H14O8,9589226.0
358.09,C15H18O10,22733854.0
358.105255,C19H18O7,8696013.0
358.126385,C16H22O9,24046990.0
358.14164,C20H22O6,5501388.0
358.16277,C17H26O8,5134411.0
360.048135,C17H12O9,11070010.0
360.08452,C18H16O8,14087531.0
360.10565,C15H20O10,11181798.0
360.120905,C19H20O7,12671437.0
360.142035,C16H24O9,5427211.0
360.15729,C20H24O6,7584223.0
362.0274,C16H10O10,5256902.0
362.0637850000001,C17H14O9,18958976.0
362.10017,C18H18O8,20711580.0
362.136555,C19H22O7,18812488.0
362.17294,C20H26O6,6816104.0
364.04305,C16H12O10,13449363.0
364.079435,C17H16O9,26266982.0
364.11582,C18H20O8,31775282.0
364.152205,C19H24O7,22642260.0
364.18859,C20H28O6,4684780.0
366.0587,C16H14O10,21170164.0
366.095085,C17H18O9,37040480.0
