weight,molecular,strength,C,H,O,N,S,P,Cl,Br,I,DBE,O/C,H/C,N/C,S/C,P/C,Cl/C,Br/C,I/C,Almod,NOSC,X/C,DBE-O,DBE/C
142.02661,C6H6O4,4642451.0,6,6,4,0,0,0,0,0,0,4.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333335,0.0,0.0,0.6666666666666666
150.031695,C8H6O3,9268326.0,8,6,3,0,0,0,0,0,0,6.0,0.375,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.0,0.0,3.0,0.75
154.02661,C7H6O4,15801932.0,7,6,4,0,0,0,0,0,0,5.0,0.5714285714285714,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2857142857142856,0.0,1.0,0.7142857142857143
158.021525,C6H6O5,7983992.0,6,6,5,0,0,0,0,0,0,4.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.6666666666666665,0.0,-1.0,0.6666666666666666
160.037175,C6H8O5,3927556.0,6,8,5,0,0,0,0,0,0,3.0,0.8333333333333334,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.3333333333333335,0.0,-2.0,0.5
164.01096,C8H4O4,7718999.0,8,4,4,0,0,0,0,0,0,7.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.5,0.0,3.0,0.875
168.04226,C8H8O4,21420444.0,8,8,4,0,0,0,0,0,0,5.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.625
170.021525,C7H6O5,8513952.99999999,7,6,5,0,0,0,0,0,0,5.0,0.7142857142857143,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5714285714285716,0.0,0.0,0.7142857142857143
172.037175,C7H8O5,10103573.0,7,8,5,0,0,0,0,0,0,4.0,0.7142857142857143,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142856,0.0,-1.0,0.5714285714285714
172.05243,C11H8O2,4854012.0,11,8,2,0,0,0,0,0,0,8.0,0.18181818181818182,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-0.3636363636363633,0.0,6.0,0.7272727272727273
174.031695,C10H6O3,8870967.0,10,6,3,0,0,0,0,0,0,8.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,0.0,0.0,5.0,0.8
180.005875,C8H4O5,8607250.99999999,8,4,5,0,0,0,0,0,0,7.0,0.625,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.75,0.0,2.0,0.875
180.04226,C9H8O4,41483320.0,9,8,4,0,0,0,0,0,0,6.0,0.4444444444444444,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,2.0,0.6666666666666666
181.037509,C8H7O4N1,4216990.0,8,7,4,1,0,0,0,0,0,6.0,0.5,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.0,2.0,0.75
182.021525,C8H6O5,43093636.0,8,6,5,0,0,0,0,0,0,6.0,0.625,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.5,0.0,1.0,0.75
183.016774,C7H5O5N1,4555770.99999999,7,5,5,1,0,0,0,0,0,6.0,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,1.1428571428571428,0.0,1.0,0.8571428571428571
184.037175,C8H8O5,16580683.0,8,8,5,0,0,0,0,0,0,5.0,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.25,0.0,0.0,0.625
188.03209,C7H8O6,5831070.0,7,8,6,0,0,0,0,0,0,4.0,0.8571428571428571,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5714285714285716,0.0,-2.0,0.5714285714285714
188.047345,C11H8O3,17330514.0,11,8,3,0,0,0,0,0,0,8.0,0.2727272727272727,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,-0.18181818181818166,0.0,5.0,0.7272727272727273
190.02661,C10H6O4,25818242.0,10,6,4,0,0,0,0,0,0,8.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.20000000000000018,0.0,4.0,0.8
192.005875,C9H4O5,13969859.0,9,4,5,0,0,0,0,0,0,8.0,0.5555555555555556,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.6666666666666665,0.0,3.0,0.8888888888888888
193.037509,C9H7O4N1,4050633.0,9,7,4,1,0,0,0,0,0,7.0,0.4444444444444444,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.44444444444444464,0.0,3.0,0.7777777777777778
194.021525,C9H6O5,32850214.0,9,6,5,0,0,0,0,0,0,7.0,0.5555555555555556,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.44444444444444464,0.0,2.0,0.7777777777777778
194.05791,C10H10O4,47358816.0,10,10,4,0,0,0,0,0,0,6.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.20000000000000018,0.0,2.0,0.6
196.00079,C8H4O6,4415706.0,8,4,6,0,0,0,0,0,0,7.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,1.0,0.875
196.037175,C9H8O5,49249628.0,9,8,5,0,0,0,0,0,0,6.0,0.5555555555555556,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.22222222222222232,0.0,1.0,0.6666666666666666
198.01644,C8H6O6,23349290.0,8,6,6,0,0,0,0,0,0,6.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.75,0.0,0.0,0.75
200.03209,C8H8O6,9667263.99999999,8,8,6,0,0,0,0,0,0,5.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,-1.0,0.625
202.02661,C11H6O4,12929448.0,11,6,4,0,0,0,0,0,0,9.0,0.36363636363636365,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.18181818181818166,0.0,5.0,0.8181818181818182
202.062995,C12H10O3,21056272.0,12,10,3,0,0,0,0,0,0,8.0,0.25,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6190476190476191,-0.33333333333333304,0.0,5.0,0.6666666666666666
204.005875,C10H4O5,10100050.0,10,4,5,0,0,0,0,0,0,9.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.6000000000000001,0.0,4.0,0.9
204.04226,C11H8O4,43495160.0,11,8,4,0,0,0,0,0,0,8.0,0.36363636363636365,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,4.0,0.7272727272727273
204.06339,C8H12O6,11531122.0,8,12,6,0,0,0,0,0,0,3.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.375
205.037509,C10H7O4N1,5777777.0,10,7,4,1,0,0,0,0,0,8.0,0.4,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.3999999999999999,0.0,4.0,0.8
206.021525,C10H6O5,41057619.9999999,10,6,5,0,0,0,0,0,0,8.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.3999999999999999,0.0,3.0,0.8
208.00079,C9H4O6,14727604.0,9,4,6,0,0,0,0,0,0,8.0,0.6666666666666666,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8888888888888888,0.0,2.0,0.8888888888888888
208.037175,C10H8O5,66190176.0,10,8,5,0,0,0,0,0,0,7.0,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.20000000000000018,0.0,2.0,0.7
210.01644,C9H6O6,37023380.0,9,6,6,0,0,0,0,0,0,7.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666665,0.0,1.0,0.7777777777777778
212.03209,C9H8O6,35054984.0,9,8,6,0,0,0,0,0,0,6.0,0.6666666666666666,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44444444444444464,0.0,0.0,0.6666666666666666
214.011355,C8H6O7,5270508.0,8,6,7,0,0,0,0,0,0,6.0,0.875,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.0,-1.0,0.75
214.02661,C12H6O4,7627114.0,12,6,4,0,0,0,0,0,0,10.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.16666666666666652,0.0,6.0,0.8333333333333334
214.09938,C14H14O2,5342936.0,14,14,2,0,0,0,0,0,0,8.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,-0.7142857142857144,0.0,6.0,0.5714285714285714
214.12051,C11H18O4,12190172.0,11,18,4,0,0,0,0,0,0,3.0,0.36363636363636365,1.6363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,-0.9090909090909092,0.0,-1.0,0.2727272727272727
216.027005,C8H8O7,5058478.0,8,8,7,0,0,0,0,0,0,5.0,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.75,0.0,-2.0,0.625
216.04226,C12H8O4,25546288.0,12,8,4,0,0,0,0,0,0,9.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,5.0,0.75
217.037509,C11H7O4N1,3990325.0,11,7,4,1,0,0,0,0,0,9.0,0.36363636363636365,0.6363636363636364,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.75,0.36363636363636376,0.0,5.0,0.8181818181818182
218.021525,C11H6O5,31095256.0,11,6,5,0,0,0,0,0,0,9.0,0.45454545454545453,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,0.36363636363636376,0.0,4.0,0.8181818181818182
218.042655,C8H10O7,4327252.0,8,10,7,0,0,0,0,0,0,4.0,0.875,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.5,0.0,-3.0,0.5
220.00079,C10H4O6,5520059.0,10,4,6,0,0,0,0,0,0,9.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.7999999999999998,0.0,3.0,0.9
220.037175,C11H8O5,64404900.0,11,8,5,0,0,0,0,0,0,8.0,0.45454545454545453,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.18181818181818166,0.0,3.0,0.7272727272727273
221.032424,C10H7O5N1,6081347.0,10,7,5,1,0,0,0,0,0,8.0,0.5,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.6000000000000001,0.0,3.0,0.8
222.01644,C10H6O6,62560008.0,10,6,6,0,0,0,0,0,0,8.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.6000000000000001,0.0,2.0,0.8
223.995705,C9H4O7,9699276.0,9,4,7,0,0,0,0,0,0,8.0,0.7777777777777778,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.1111111111111112,0.0,1.0,0.8888888888888888
224.03209,C10H8O6,91629720.0,10,8,6,0,0,0,0,0,0,7.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.3999999999999999,0.0,1.0,0.7
225.027339,C9H7O6N1,4008240.0,9,7,6,1,0,0,0,0,0,7.0,0.6666666666666666,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.6,0.8888888888888888,0.0,1.0,0.7777777777777778
226.011355,C9H6O7,22500746.0,9,6,7,0,0,0,0,0,0,7.0,0.7777777777777778,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.8888888888888888,0.0,0.0,0.7777777777777778
226.04774,C10H10O6,47288676.0,10,10,6,0,0,0,0,0,0,6.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.20000000000000018,0.0,0.0,0.6
228.027005,C9H8O7,9875660.0,9,8,7,0,0,0,0,0,0,6.0,0.7777777777777778,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.6666666666666665,0.0,-1.0,0.6666666666666666
228.04226,C13H8O4,16123399.0,13,8,4,0,0,0,0,0,0,10.0,0.3076923076923077,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,6.0,0.7692307692307693
230.021525,C12H6O5,16823146.0,12,6,5,0,0,0,0,0,0,10.0,0.4166666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.3333333333333335,0.0,5.0,0.8333333333333334
230.05791,C13H10O4,28991152.0,13,10,4,0,0,0,0,0,0,9.0,0.3076923076923077,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,-0.1538461538461542,0.0,5.0,0.6923076923076923
232.00079,C11H4O6,7707362.0,11,4,6,0,0,0,0,0,0,10.0,0.5454545454545454,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.7272727272727271,0.0,4.0,0.9090909090909091
232.037175,C12H8O5,46670120.0,12,8,5,0,0,0,0,0,0,9.0,0.4166666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,0.16666666666666652,0.0,4.0,0.75
233.032424,C11H7O5N1,6034092.0,11,7,5,1,0,0,0,0,0,9.0,0.45454545454545453,0.6363636363636364,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.5454545454545454,0.0,4.0,0.8181818181818182
234.01644,C11H6O6,35997848.0,11,6,6,0,0,0,0,0,0,9.0,0.5454545454545454,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5454545454545454,0.0,3.0,0.8181818181818182
234.052825,C12H10O5,70312752.0,12,10,5,0,0,0,0,0,0,8.0,0.4166666666666667,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.5789473684210527,0.0,0.0,3.0,0.6666666666666666
235.995705,C10H4O7,8738721.0,10,4,7,0,0,0,0,0,0,9.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,1.0,0.0,2.0,0.9
236.03209,C11H8O6,74880656.0,11,8,6,0,0,0,0,0,0,8.0,0.5454545454545454,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.36363636363636376,0.0,2.0,0.7272727272727273
237.027339,C10H7O6N1,4620286.0,10,7,6,1,0,0,0,0,0,8.0,0.6,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7999999999999998,0.0,2.0,0.8
238.011355,C10H6O7,37646543.9999999,10,6,7,0,0,0,0,0,0,8.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.7999999999999998,0.0,1.0,0.8
