mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,NSP,abserrPpm,sumintens,relativeintens,avemass,dbe_o,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
471.68,2017307,108.975474,108.975359,-0.115,-1.056,C5 H O S,5,1,0,1,1,2,0.4,0.2,12,1,1.056,61527170297,3.27873E-05,360.8341791,4,1,5,0.4,0.146323859,109,0.870752363,108,0.088565961,109,0.010003742,109,0.000555469,109
-1000,1932338,113.00317,113.003288,0.118,1.048,C8 H O,8,1,0,1,0,2,0.25,0.125,18,0,1.048,61527170297,3.14063E-05,360.8341791,7,1,8,0,0.122892481,113,0.874097189,112,0.062999745,113,0.039213275,113,0.029415777,113
744.94,2135811,121.065908,121.065888,-0.019,-0.158,C8 H9 O,8,9,0,1,0,10,1.25,0.125,18,0,0.158,61527170297,3.47133E-05,360.8341791,3,0.466666667,4,-1,0.069295252,121,0.874097189,120,0.005129267,121,0.104376485,121,0.093879951,121
470.31,2206698,121.970577,121.970608,0.032,0.26,C5 N O S,5,0,1,1,1,1,0.2,0.2,13,2,0.26,61527170297,3.58654E-05,360.8341791,5,1.4,6,1.2,0.165585471,122,0.976401657,121,0.100939976,122,0.009384107,122,0.001190866,122
-1000,2269209,130.008031,130.008057,0.026,0.198,C3 H4 N3 O S,3,4,3,1,1,5,1.666666667,0.333333333,11,4,0.198,61527170297,3.68814E-05,360.8341791,2,1,3,2.666666667,0.137111158,130,1.001357379,129,0.068205745,130,0.049388321,130,0.038116493,130
-1000,4260297,131.034969,131.034982,0.013,0.1,C5 H7 O4,5,7,0,4,0,8,1.6,0.8,12,0,0.1,61527170297,6.92425E-05,360.8341791,-2,0,2,0,0.111332832,131,0.982405676,130,0.041883139,131,0.076639795,131,0.065278931,131
498.61,2191243,131.07131,131.071368,0.058,0.442,C6 H11 O3,6,11,0,3,0,12,2,0.5,14,0,0.442,61527170297,3.56142E-05,360.8341791,-2,-0.111111111,1,-1,0.07498746,131,0.946302185,130,0.005518483,131,0.113037362,131,0.101673344,131
510.11,2127749,132.066736,132.066617,-0.12,-0.905,C5 H10 N O3,5,10,1,3,0,11,2.2,0.6,13,1,0.905,61527170297,3.45823E-05,360.8341791,-2,-0.6,1,-0.4,0.080849764,132,0.958780542,131,0.010853296,132,0.108602765,132,0.097152458,132
327.75,2518644,135.012107,135.012139,0.032,0.236,C4 H7 O3 S,4,7,0,3,1,8,2,0.75,10,1,0.236,61527170297,4.09355E-05,360.8341791,-2,-1,1,0,0.138616761,135,1.036128296,134,0.06705914,135,0.055061187,135,0.043355499,135
9.68,100283896,135.045154,135.045153,-0.001,-0.004,C8 H7 O2,8,7,0,2,0,8,1,0.25,18,0,0.004,61527170297,0.001629912,360.8341791,3,0.571428571,5,-0.5,0.105639624,135,1.003370625,134,0.034064506,135,0.088085682,135,0.076377133,135
-1000,3787990,137.024415,137.024418,0.002,0.017,C7 H5 O3,7,5,0,3,0,6,0.857142857,0.428571429,16,0,0.017,61527170297,6.15661E-05,360.8341791,2,0.636363636,5,0,0.128584689,137,1.039473123,136,0.055960543,137,0.067979917,137,0.056099763,137
-1000,1911484,141.009325,141.009436,0.112,0.792,C8 H N2 O,8,1,2,1,0,2,0.25,0.125,20,2,0.792,61527170297,3.10673E-05,360.8341791,8,1.181818182,9,0.75,0.148016396,141,1.085395778,140,0.073280155,141,0.054264809,141,0.04203915,141
379.78,2712017,143.034971,143.034982,0.011,0.08,C6 H7 O4,6,7,0,4,0,8,1.333333333,0.666666667,14,0,0.08,61527170297,4.40784E-05,360.8341791,-1,0.25,3,0,0.124732139,143,1.075576613,142,0.048922341,143,0.080454757,143,0.068053481,143
-1000,2569176,143.071356,143.071368,0.011,0.079,C7 H11 O3,7,11,0,3,0,12,1.714285714,0.428571429,16,0,0.079,61527170297,4.17568E-05,360.8341791,-1,0.090909091,2,-0.857142857,0.088386768,143,1.039473123,142,0.012557685,143,0.116852325,143,0.104447894,143
335.65,7068083,144.045479,144.045487,0.009,0.06,C9 H6 N O,9,6,1,1,0,7,0.777777778,0.111111111,21,1,0.06,61527170297,0.000114877,360.8341791,6,0.733333333,7,-0.222222222,0.115355478,144,1.072917421,143,0.039010103,144,0.09128101,144,0.078792123,144
265.56,4180900,145.050644,145.050632,-0.012,-0.079,C6 H9 O4,6,9,0,4,0,10,1.666666667,0.666666667,14,0,0.079,61527170297,6.79521E-05,360.8341791,-2,0,2,-0.333333333,0.111332832,145,1.075576613,144,0.034454721,145,0.096745559,145,0.084169525,145
-1000,2515111,145.061879,145.061866,-0.013,-0.092,C5 H9 N2 O3,5,9,2,3,0,10,2,0.6,14,2,0.092,61527170297,4.08781E-05,360.8341791,-1,-1,2,0.4,0.100111375,145,1.064429837,144,0.023227311,145,0.107983131,145,0.095406122,145
308.32,3146413,145.087001,145.087018,0.017,0.119,C7 H13 O3,7,13,0,3,0,14,2,0.428571429,16,0,0.119,61527170297,5.11386E-05,360.8341791,-2,-0.090909091,1,-1.142857143,0.07498746,145,1.039473123,144,0.001909935,145,0.133143127,145,0.120563938,145
-1000,3605149,146.02476,146.024752,-0.008,-0.055,C8 H4 N O2,8,4,1,2,0,5,0.625,0.25,19,1,0.055,61527170297,5.85944E-05,360.8341791,5,0.833333333,7,0.25,0.138300543,146,1.109019919,145,0.06090614,146,0.071175245,146,0.058514753,146
-1000,5730481,147.045146,147.045153,0.007,0.045,C9 H7 O2,9,7,0,2,0,8,0.888888889,0.222222222,20,0,0.045,61527170297,9.31374E-05,360.8341791,4,0.625,6,-0.444444444,0.119038931,147,1.096541562,146,0.041103708,147,0.091900645,147,0.079151683,147
-1000,2328247,147.066237,147.066282,0.045,0.306,C6 H11 O4,6,11,0,4,0,12,2,0.666666667,14,0,0.306,61527170297,3.7841E-05,360.8341791,-3,-0.25,1,-0.666666667,0.097933524,147,1.075576613,146,0.019987102,147,0.113036362,147,0.100285568,147
416.97,2101995,148.991508,148.991403,-0.104,-0.699,C4 H5 O4 S,4,5,0,4,1,6,1.5,1,10,1,0.699,61527170297,3.41637E-05,360.8341791,-2,-1,2,1,0.174962132,149,1.165402724,148,0.095995378,149,0.038769384,149,0.02585168,149
