,dbe1,dbe2,dbe3,dbe4,dbe5,dbe6,dbe7,dbe8,dbe9,dbe10,dbe11,dbe12,dbe13,dbe14,dbe15,dbe16,dbe17,dbe18,dbe19,dbe20
S1O1,0,0,0,0,2017307,0,2013261,0,10564459,8285902,0,0,7645208,110159989,91855204,7613001,3150782,2709047,3171036,2976765
others,2274801440,6487807525,4132148046,1883923174,2936736829,2485649134,1826702178,1431284643,1395840771,1218063792,790248959,606988587,410763251,384192831,216217443,278305676,179721432,186740822,189583923,150821505
N1O3,2127749,71604173,2254899,2359659,14636998,178871016,98832879,85686477,2761047,22435243,22182058,4455344,4113200,0,0,0,0,2662901,0,0
S1O3,47136939,6780564,2047928,2252805681,85408860,13976218,14922458,0,6256813,0,0,3679471,0,0,3969300,0,0,0,0,0
N2O1,0,0,0,2115423,0,2363311,2816983,0,1911484,0,0,5386732,73128584,0,0,0,0,0,0,0
N1O1,0,0,0,0,3211195,0,9801962,0,0,0,0,0,0,0,0,0,0,0,0,0
N2O3,0,2515111,0,0,4460961,20874053,4143747159,32120751,3534091,0,14602676,22545730,12997093,2923276,0,10210623,2731314,0,0,0
N1O2,0,0,0,1972803,7385965,138932931,139778020,4505616,2171951,100887704,98149999,0,2782587,0,2673256,0,0,0,0,0
S1O4,14394797,80645925,56410970,168476369,310630037,80860341,5235072,30319424,9110326,2433950,2476084,3212469,3594335,26955915,30299649,0,0,0,0,0
N5O2,0,0,0,0,0,2105298,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1O4,0,45386505,28295045,11764932,30898742,51310091,63182227,22083837,9329758,31578185,30815675,12273953,0,2738847,0,0,0,0,0,0
N4O4,0,0,0,0,0,2126849,0,4048701,0,0,2575954,4828518,5773214,2893648,0,0,0,0,0,0
N1O5,0,428674984,113507763,34109802,25708070,44038472,42742491,31742909,32284085,30831604,38151741,18811973,0,2748595,2973751,0,0,0,0,2666161
N2O2,0,0,0,0,0,3364682,11133744,7480848,0,0,4038780,44894657,61363145,5600226,0,0,0,0,0,0
S1O5,59896300,131034595,83265390,105673558,3357346322,552158886,77519262,16276746,22772408,0,0,3992358,3698804,2719249,2616220,3311568,0,0,2746020,0
N4O3,0,0,0,0,0,0,5517584,2350754,0,0,7171448,5738207,2721882,0,0,0,2764858,0,0,0
S1O2,0,0,0,15347538,3105567,0,0,0,3374942,0,0,0,22205438,30029012,22064338,51067307,52149822,13482706,2912604,0
N4O1,0,0,0,0,2597378,0,0,0,2035598,0,0,0,0,0,0,0,0,25978804,0,0
N2O4,4645179,2312649,55014616,27356746,25339657,808304672,78881782,219717966,26815419,6710605,3109668,47426381,18509669,5715769,2726723,6685998,0,0,0,0
N1O6,0,5405589,50322437,43162772,39326587,54382717,45229252,53277517,32868610,24317624,31733929,18234884,3643465,0,3595531,2778866,2866751,0,0,0
N3O1,0,0,0,0,0,2229798,0,0,0,0,0,0,0,0,0,0,0,0,5163486,0
S1O6,266855595,105597785,87827549,100229199,277088759,179079747,104406003,25547148,19905710,9872778,0,0,0,3842386,0,0,0,0,0,0
N2O5,0,0,31168962,33650483,26321508,53906388,232666647,48959162,34379073,67885673,32727206,23561598,9554183,7135161,6965870,0,0,0,0,0
N5O4,0,0,0,2051117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N5O1,0,0,0,2261950,0,0,8451077,0,0,2405401,0,0,0,2190222,0,0,0,0,0,0
S1O7,1070324548,185760166,54435945,49918129,82102125,395704376,141382171,46716040,13846715,21122032,2597964,0,0,0,2654546,3713614,2651677,0,0,0
N2O6,0,4349012,4133731,47163395,24146051,42894171,111504813,47927754,39911996,40557305,41953335,21225582,4218883,7138849,0,0,5326729,0,3308654,0
N1O7,6409186,8509926,27555650,232971282,54412978,60971940,54204572,48947872,34955430,30468241,16730972,27493952,10577760,0,4744048,3272540,4772570,2683627,0,0
N3O3,0,0,0,0,2173176,0,0,30228733,6799718,2667501,2501374,0,78864184,3111430,0,0,0,0,0,0
N4O2,0,0,0,0,0,6950139,2756880,5744106,0,15035363,27309874,3398823,0,0,0,3714884,0,0,55964592,0
N2O8,5908017,2599726,3626091,3560599,23189912,9284626,15566942,22093443,42760995,26063649,25184339,9728268,0,2692863,6556550,6228013,3358725,4183687,0,2613427
N3O4,0,3886796,12820052,0,0,2541355,56603392,12252594,9280031,0,0,12355211,2862599,0,0,0,0,0,0,0
N2O7,8171771,5418123,0,23506266,20388088,29744753,25408224,37675124,62533473,29685903,16533621,8068858,0,0,0,35325228,3627284,0,0,0
N4O5,0,0,0,8860897,0,0,2336413,12495590,8072392,2662339,15771628,0,0,39869296,9501566,0,0,2853098,0,4013067
N1O8,25034094,12899098,22995588,26297474,52618431,41820242,48798611,40833092,37030492,31229536,29644997,23932890,5340292,0,7384275,6923224,3854822,5127931,7407353,5325068
