mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,NSP,abserrPpm,sumintens,relativeintens,avemass,dbe_o,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
573.98,7023441,113.071995,113.072036,0.041,0.366,C27H32O18,5,9,2,1,0,10,2,0.2,14,2,0.366,74423097888,2.58E-05,417.4783194,1,-0.2,2,-0.4,0.054221246,113,0.805882966,112,0.005707928,113,0.107983131,113,0.098179672,113
-1000,15813316,117.019283,117.019332,0.049,0.42,C24H22O19,4,5,0,4,0,6,1.5,1,10,0,0.42,74423097888,2.56E-05,417.4783194,-2,0,2,0.5,0.111332832,117,0.889234738,116,0.049311557,117,0.05653403,117,0.046388337,117
567.89,9630656,130.087442,130.087352,-0.09,-0.688,C23H21NO16,6,12,1,2,0,13,2.166666667,0.333333333,15,1,0.688,74423097888,2.69E-05,417.4783194,-1,-0.25,1,-1,0.057904699,130,0.922678044,129,0.011042741,130,0.12870853,130,0.117429827,130
37.83,10443060,137.024415,137.024418,0.002,0.016,C22H23NO14,7,5,0,3,0,6,0.857142857,0.428571429,16,0,0.016,74423097888,0.000187487,417.4783194,2,0.636363636,5,0,0.128584689,137,1.039473123,136,0.055960543,137,0.067979917,137,0.056099763,137
-1000,5934405,137.060835,137.060803,-0.031,-0.229,C20H20N2O13,8,9,0,2,0,10,1.25,0.25,18,0,0.229,74423097888,2.90E-05,417.4783194,2,0.428571429,4,-0.75,0.092240317,137,1.003370625,136,0.019596887,137,0.104376485,137,0.092493176,137
603.74,9298532,137.965424,137.965523,0.099,0.717,C20H18N2O13,5,0,1,2,1,1,0.2,0.4,13,2,0.717,74423097888,3.08E-05,417.4783194,4,1.5,6,1.6,0.188530536,138,1.105675092,137,0.115407595,138,0.009384107,138,0.002577641,138
-1000,10141570,139.040054,139.040068,0.014,0.099,C21H20N2O12,7,7,0,3,0,8,1.142857143,0.428571429,16,0,0.099,74423097888,2.86E-05,417.4783194,1,0.454545455,4,-0.285714286,0.115185382,139,1.039473123,138,0.041492924,139,0.08427072,139,0.072215807,139
383.73,7223295,139.992323,139.992406,0.084,0.597,C20H22N2O12,4,2,3,1,1,3,0.75,0.25,13,4,0.597,74423097888,3.05E-05,417.4783194,4,-1,5,2.5,0.163910771,140,1.094529308,139,0.089713565,140,0.036911481,140,0.024773999,140
-1000,9178279,140.010288,140.010165,-0.124,-0.885,C20H20N2O12,4,2,3,3,0,3,0.75,0.75,13,3,0.885,74423097888,2.59E-05,417.4783194,2,-1,5,3,0.146171601,140,1.076908193,139,0.071964983,140,0.054676127,140,0.042537106,140
-1000,6003021,144.102934,144.103002,0.068,0.472,C21H22N2O11,7,14,1,2,0,15,2.142857143,0.285714286,17,1,0.472,74423097888,2.58E-05,417.4783194,-1,-0.2,1,-1.142857143,0.057904699,144,1.015848982,143,0.018471158,144,0.148814295,144,0.136320421,144
-1000,7018813,148.043916,148.043773,-0.143,-0.965,C20H18N2O12,5,10,1,2,1,11,2.2,0.4,13,2,0.965,74423097888,2.72E-05,417.4783194,-1,-1,1,-0.4,0.121533999,148,1.105675092,147,0.043069498,148,0.090838119,148,0.078002576,148
568.1,7816655,148.991484,148.991403,-0.08,-0.539,C21H20N2O11,4,5,0,4,1,6,1.5,1,10,1,0.539,74423097888,2.97E-05,417.4783194,-2,-1,2,1,0.174962132,149,1.165402724,148,0.095995378,149,0.038769384,149,0.02585168,149
75.77,17359170,151.040065,151.040068,0.003,0.017,C20H19NO12,8,7,0,3,0,8,1,0.375,18,0,0.017,74423097888,0.000257898,417.4783194,2,0.538461538,5,-0.25,0.128584689,151,1.13264406,150,0.048532125,151,0.088085682,151,0.074990357,151
36.31,9895755,153.019327,153.019332,0.006,0.037,C20H20N2O11,7,5,0,4,0,6,0.857142857,0.571428571,16,0,0.037,74423097888,0.000214951,417.4783194,1,0.6,5,0.285714286,0.151530753,153,1.16874755,152,0.070429162,153,0.067978917,153,0.054711988,153
-1000,5012296,153.055713,153.055718,0.004,0.028,C21H22N2O10,8,9,0,3,0,10,1.25,0.375,18,0,0.028,74423097888,9.61E-05,417.4783194,1,0.384615385,4,-0.5,0.115185382,153,1.13264406,152,0.034064506,153,0.104376485,153,0.091106401,153
-1000,10017588,155.034985,155.034982,-0.003,-0.017,C20H18N2O11,7,7,0,4,0,8,1.142857143,0.571428571,16,0,0.017,74423097888,7.37E-05,417.4783194,0,0.4,4,0,0.138131446,155,1.16874755,154,0.055961543,155,0.084269719,155,0.070828032,155
576.34,9361157,157.014206,157.014247,0.041,0.258,C20H16N2O11,6,5,0,5,0,6,1,0.833333333,14,0,0.258,74423097888,2.61E-05,417.4783194,-1,0.428571429,4,0.666666667,0.161076511,157,1.204850048,156,0.07785758,157,0.064163955,157,0.050550663,157
-1000,8764430,157.050643,157.050632,-0.011,-0.067,C19H16N2O11,7,9,0,4,0,10,1.428571429,0.571428571,16,0,0.067,74423097888,7.87E-05,417.4783194,-1,0.2,3,-0.285714286,0.124732139,157,1.16874755,156,0.041493923,157,0.100560522,157,0.086944075,157
380.05,5609538,159.029897,159.029897,0,-0.001,C18H33O10P,6,7,0,5,0,8,1.333333333,0.833333333,14,0,0.001,74423097888,5.79E-05,417.4783194,-2,0.142857143,3,0.333333333,0.147677204,159,1.204850048,158,0.06338996,159,0.080454757,159,0.066666706,159
-1000,11891354,161.045591,161.045547,-0.044,-0.272,C16H19NO10,6,9,0,5,0,10,1.666666667,0.833333333,14,0,0.272,74423097888,3.26E-05,417.4783194,-3,-0.142857143,2,0,0.134277896,161,1.204850048,160,0.048922341,161,0.096745559,161,0.08278275,161
-1000,3665122,161.05669,161.05678,0.09,0.56,C12H21O7P,5,9,2,4,0,10,2,0.8,14,2,0.56,74423097888,2.73E-05,417.4783194,-2,-2,2,0.8,0.123057439,161,1.193704264,160,0.03769593,161,0.107982131,161,0.094018347,161
463.14,10147224,161.100412,161.10056,0.148,0.919,C14H20O5,8,17,0,1,1,18,2.25,0.125,18,1,0.919,74423097888,2.88E-05,417.4783194,-1,-0.230769231,0,-1.75,0.079326325,161,1.150264183,160,0.006058389,161,0.151776049,161,0.137808469,161
645.96,5908733,163.014927,163.014916,-0.011,-0.07,C14H23O7P,7,3,2,3,0,4,0.571428571,0.428571429,18,2,0.07,74423097888,3.24E-05,417.4783194,4,1,7,1.142857143,0.167107912,163,1.250771711,162,0.080708573,163,0.066740649,163,0.052607092,163
-1000,4492970,163.040061,163.040068,0.006,0.04,C29H30O12,9,7,0,3,0,8,0.888888889,0.333333333,20,0,0.04,74423097888,8.56E-05,417.4783194,3,0.6,6,-0.222222222,0.141983996,163,1.225814998,162,0.055571327,163,0.091900645,163,0.077764908,163
35.57,4130629,165.01933,165.019332,0.002,0.014,C35H44O16,8,5,0,4,0,6,0.75,0.5,18,0,0.014,74423097888,0.000181893,417.4783194,2,0.666666667,6,0.25,0.16493006,165,1.261918488,164,0.077468364,165,0.071793879,165,0.057486539,165
97.58,3743259,165.055717,165.055718,0.001,0.003,C35H40O15,9,9,0,3,0,10,1.111111111,0.333333333,20,0,0.003,74423097888,0.000191002,417.4783194,2,0.466666667,5,-0.444444444,0.128584689,165,1.225814998,164,0.041103708,165,0.108191447,165,0.093880951,165
5.88,5038098,167.034976,167.034982,0.007,0.041,C33H38O14,8,7,0,4,0,8,1,0.5,18,0,0.041,74423097888,0.001588178,417.4783194,1,0.5,5,0,0.151530753,167,1.261918488,166,0.063000744,167,0.088084682,167,0.073602582,167
-1000,10280516,167.071373,167.071368,-0.005,-0.03,C30H36O16,9,11,0,3,0,12,1.333333333,0.333333333,20,0,0.03,74423097888,6.94E-05,417.4783194,1,0.333333333,4,-0.666666667,0.115185382,167,1.225814998,166,0.026636088,167,0.12448225,167,0.109996995,167
290.32,15112371,169.014235,169.014247,0.012,0.071,C29H34O16,7,5,0,5,0,6,0.857142857,0.714285714,16,0,0.071,74423097888,7.27E-05,417.4783194,0,0.555555556,5,0.571428571,0.174475818,169,1.298020986,168,0.084896781,169,0.067978917,169,0.053325213,169
-1000,7262834,169.050623,169.050632,0.009,0.053,C30H42O14,8,9,0,4,0,10,1.25,0.5,18,0,0.053,74423097888,0.000191335,417.4783194,0,0.333333333,4,-0.25,0.138131446,169,1.261918488,168,0.048533125,169,0.104375484,169,0.089718626,169
-1000,4645808,169.972951,169.97311,0.159,0.936,C26H36O16,5,0,1,6,0,1,0.2,1.2,13,1,0.936,74423097888,2.82E-05,417.4783194,0,2,6,2.8,0.216683493,170,1.346602833,169,0.126596251,170,0.027146753,170,0.012409914,170
-1000,4268595,171.029893,171.029897,0.004,0.026,C31H38O12,7,7,0,5,0,8,1.142857143,0.714285714,16,0,0.026,74423097888,8.85E-05,417.4783194,-1,0.333333333,4,0.285714286,0.161076511,171,1.298020986,170,0.070429162,171,0.084269719,171,0.069441257,171
-1000,5313832,171.066276,171.066282,0.007,0.04,C29H36O11,8,11,0,4,0,12,1.5,0.5,18,0,0.04,74423097888,0.000116927,417.4783194,-1,0.166666667,3,-0.5,0.124732139,171,1.261918488,170,0.034065505,171,0.120666287,171,0.105834669,171
234.87,8264536,173.04554,173.045547,0.007,0.042,C24H17NO13,7,9,0,5,0,10,1.428571429,0.714285714,16,0,0.042,74423097888,7.50E-05,417.4783194,-2,0.111111111,3,0,0.147677204,173,1.298020986,172,0.055961543,173,0.100560522,173,0.0855573,173
583.17,6642532,173.081955,173.081932,-0.022,-0.128,C24H19NO12,8,13,0,4,0,14,1.75,0.5,18,0,0.128,74423097888,2.62E-05,417.4783194,-2,0,2,-0.75,0.111332832,173,1.261918488,172,0.019597886,173,0.136957089,173,0.121950713,173
-1000,9808233,175.024821,175.024812,-0.009,-0.052,C23H17NO12,6,7,0,6,0,8,1.333333333,1,14,0,0.052,74423097888,5.71E-05,417.4783194,-3,0,3,0.666666667,0.170622269,175,1.334123484,174,0.07785758,175,0.080454757,175,0.065279931,175
-1000,4829183,175.040076,175.040068,-0.008,-0.048,C20H25NO13,10,7,0,3,0,8,0.8,0.3,22,0,0.048,74423097888,6.41E-05,417.4783194,4,0.647058824,7,-0.2,0.155383304,175,1.318985935,174,0.062610529,175,0.095715607,175,0.080539458,175
-1000,4797645,175.061269,175.061197,-0.072,-0.412,C23H19NO11,7,11,0,5,0,12,1.714285714,0.714285714,16,0,0.412,74423097888,2.89E-05,417.4783194,-3,-0.111111111,2,-0.285714286,0.134277896,175,1.298020986,174,0.041493923,175,0.116851324,175,0.101673344,175
-1000,8592575,177.019356,177.019332,-0.024,-0.133,C22H17NO11,9,5,0,4,0,6,0.666666667,0.444444444,20,0,0.133,74423097888,5.40E-05,417.4783194,3,0.714285714,7,0.222222222,0.178329368,177,1.355089425,176,0.084507565,177,0.075608842,177,0.060261089,177
-1000,6594807,177.040461,177.040462,0.001,0.005,C22H15NO11,6,9,0,6,0,10,1.666666667,1,14,0,0.005,74423097888,0.000214929,417.4783194,-4,-0.333333333,2,0.333333333,0.157222961,177,1.334123484,176,0.06338996,177,0.096745559,177,0.081395975,177
-1000,4372652,177.055717,177.055718,0,0.002,C22H19NO10,10,9,0,3,0,10,1,0.3,22,0,0.002,74423097888,0.000141235,417.4783194,3,0.529411765,6,-0.4,0.141983996,177,1.318985935,176,0.048142909,177,0.11200641,177,0.096655502,177
4.98,4485268,179.034974,179.034982,0.008,0.047,C18H25NO10,9,7,0,4,0,8,0.888888889,0.444444444,20,0,0.047,74423097888,0.000525849,417.4783194,2,0.571428571,6,0,0.16493006,179,1.355089425,178,0.070039946,179,0.091899644,179,0.076377133,179
400.72,3769118,179.056112,179.056112,-0.001,-0.003,C14H19NO10,6,11,0,6,0,12,2,1,14,0,0.003,74423097888,5.09E-05,417.4783194,-5,-0.666666667,1,0,0.143823654,179,1.334123484,178,0.048922341,179,0.113036362,179,0.097512018,179
-1000,8585473,179.07137,179.071368,-0.002,-0.011,C14H22O9,10,11,0,3,0,12,1.2,0.3,22,0,0.011,74423097888,0.000154902,417.4783194,2,0.411764706,5,-0.6,0.128584689,179,1.318985935,178,0.03367529,179,0.128297212,179,0.112771545,179
6.36,9923615,181.01424,181.014247,0.007,0.04,C11H17NO6,8,5,0,5,0,6,0.75,0.625,18,0,0.04,74423097888,0.000510347,417.4783194,1,0.636363636,6,0.5,0.187875125,181,1.391191923,180,0.091935983,181,0.071793879,181,0.056099763,181
2.8,5114231,181.050625,181.050632,0.008,0.043,C31H32O13,9,9,0,4,0,10,1.111111111,0.444444444,20,0,0.043,74423097888,0.002237068,417.4783194,1,0.428571429,5,-0.222222222,0.151530753,181,1.355089425,180,0.055572327,181,0.108190447,181,0.092493176,181
