Source,Target,Type,Id,Label,Weight,colour
C7H10O5,C11H18O7,Directed,0,,1,1
C9H15O4N1,C13H23O6N1,Directed,1,,1,1
C8H13O5N1,C12H21O7N1,Directed,2,,1,1
C9H12O7,C13H20O9,Directed,3,,1,1
C8H11O5N1S1,C12H19O7N1S1,Directed,4,,1,1
C8H10O6S1,C12H18O8S1,Directed,5,,1,1
C12H12O5,C16H20O7,Directed,6,,1,1
C9H18O5S1,C13H26O7S1,Directed,7,,1,1
C11H12O6,C15H20O8,Directed,8,,1,1
C10H15O4N3,C14H23O6N3,Directed,9,,1,1
C12H21O4N1,C16H29O6N1,Directed,10,,1,1
C8H8O5N2S1,C12H16O7N2S1,Directed,11,,1,1
C10H12O7,C14H20O9,Directed,12,,1,1
C10H15O6N1,C14H23O8N1,Directed,13,,1,1
C11H19O5N1,C15H27O7N1,Directed,14,,1,1
C10H14O7,C14H22O9,Directed,15,,1,1
C9H13O7N1,C13H21O9N1,Directed,16,,1,1
C10H20O5S1,C14H28O7S1,Directed,17,,1,1
C11H17O4N3,C15H25O6N3,Directed,18,,1,1
C14H25O3N1,C18H33O5N1,Directed,19,,1,1
C11H12O7,C15H20O9,Directed,20,,1,1
C11H15O6N1,C15H23O8N1,Directed,21,,1,1
C12H19O5N1,C16H27O7N1,Directed,22,,1,1
C13H23O4N1,C17H31O6N1,Directed,23,,1,1
C11H14O7,C15H22O9,Directed,24,,1,1
C11H18O5N2,C15H26O7N2,Directed,25,,1,1
C11H17O6N1,C15H25O8N1,Directed,26,,1,1
C10H17O5N3,C14H25O7N3,Directed,27,,1,1
C12H21O5N1,C16H29O7N1,Directed,28,,1,1
C10H12O8,C14H20O10,Directed,29,,1,1
C10H16O6N2,C14H24O8N2,Directed,30,,1,1
C10H15O7N1,C14H23O9N1,Directed,31,,1,1
C9H10O7S1,C13H18O9S1,Directed,32,,1,1
C12H19O4N3,C16H27O6N3,Directed,33,,1,1
C14H23O4N1,C18H31O6N1,Directed,34,,1,1
C15H27O3N1,C19H35O5N1,Directed,35,,1,1
C12H17O6N1,C16H25O8N1,Directed,36,,1,1
C13H21O5N1,C17H29O7N1,Directed,37,,1,1
C14H25O4N1,C18H33O6N1,Directed,38,,1,1
C11H12O8,C15H20O10,Directed,39,,1,1
C10H11O6N1S1,C14H19O8N1S1,Directed,40,,1,1
C11H15O7N1,C15H23O9N1,Directed,41,,1,1
C12H19O6N1,C16H27O8N1,Directed,42,,1,1
C11H19O5N3,C15H27O7N3,Directed,43,,1,1
C16H19O3N1,C20H27O5N1,Directed,44,,1,1
C11H14O8,C15H22O10,Directed,45,,1,1
C11H18O6N2,C15H26O8N2,Directed,46,,1,1
C12H21O6N1,C16H29O8N1,Directed,47,,1,1
C15H21O4N1,C19H29O6N1,Directed,48,,1,1
C13H20O3N4,C17H28O5N4,Directed,49,,1,1
C11H9O6N1S1,C15H17O8N1S1,Directed,50,,1,1
C14H21O5N1,C18H29O7N1,Directed,51,,1,1
C15H25O4N1,C19H33O6N1,Directed,52,,1,1
C14H25O3N3,C18H33O5N3,Directed,53,,1,1
C13H19O6N1,C17H27O8N1,Directed,54,,1,1
C14H23O5N1,C18H31O7N1,Directed,55,,1,1
C12H17O7N1,C16H25O9N1,Directed,56,,1,1
C11H17O6N3,C15H25O8N3,Directed,57,,1,1
C13H21O6N1,C17H29O8N1,Directed,58,,1,1
C12H21O5N3,C16H29O7N3,Directed,59,,1,1
C14H25O5N1,C18H33O7N1,Directed,60,,1,1
C11H12O9,C15H20O11,Directed,61,,1,1
C11H14O9,C15H22O11,Directed,62,,1,1
C14H22O3N4,C18H30O5N4,Directed,63,,1,1
C15H21O5N1,C19H29O7N1,Directed,64,,1,1
C16H25O4N1,C20H33O6N1,Directed,65,,1,1
C14H19O6N1,C18H27O8N1,Directed,66,,1,1
C18H19O3N1,C22H27O5N1,Directed,67,,1,1
C15H23O5N1,C19H31O7N1,Directed,68,,1,1
C16H27O4N1,C20H35O6N1,Directed,69,,1,1
C13H17O7N1,C17H25O9N1,Directed,70,,1,1
C14H21O6N1,C18H29O8N1,Directed,71,,1,1
C15H25O5N1,C19H33O7N1,Directed,72,,1,1
C12H15O8N1,C16H23O10N1,Directed,73,,1,1
C13H19O7N1,C17H27O9N1,Directed,74,,1,1
C12H19O6N3,C16H27O8N3,Directed,75,,1,1
C14H23O6N1,C18H31O8N1,Directed,76,,1,1
C12H14O9,C16H22O11,Directed,77,,1,1
C11H17O5N3S1,C15H25O7N3S1,Directed,78,,1,1
C17H25O2N3,C21H33O4N3,Directed,79,,1,1
C12H16O9,C16H24O11,Directed,80,,1,1
C16H21O5N1,C20H29O7N1,Directed,81,,1,1
C17H25O4N1,C21H33O6N1,Directed,82,,1,1
C15H24O3N4,C19H32O5N4,Directed,83,,1,1
C14H15O7N1,C18H23O9N1,Directed,84,,1,1
C16H23O5N1,C20H31O7N1,Directed,85,,1,1
C17H27O4N1,C21H35O6N1,Directed,86,,1,1
C13H13O8N1,C17H21O10N1,Directed,87,,1,1
C14H17O7N1,C18H25O9N1,Directed,88,,1,1
C18H17O4N1,C22H25O6N1,Directed,89,,1,1
C16H25O5N1,C20H33O7N1,Directed,90,,1,1
C13H15O8N1,C17H23O10N1,Directed,91,,1,1
C17H15O5N1,C21H23O7N1,Directed,92,,1,1
C14H19O7N1,C18H27O9N1,Directed,93,,1,1
C15H23O6N1,C19H31O8N1,Directed,94,,1,1
C16H27O5N1,C20H35O7N1,Directed,95,,1,1
C12H18O6N4,C16H26O8N4,Directed,96,,1,1
C13H17O8N1,C17H25O10N1,Directed,97,,1,1
C12H17O7N3,C16H25O9N3,Directed,98,,1,1
C17H17O5N1,C21H25O7N1,Directed,99,,1,1
C13H21O6N3,C17H29O8N3,Directed,100,,1,1
C15H25O6N1,C19H33O8N1,Directed,101,,1,1
C16H29O5N1,C20H37O7N1,Directed,102,,1,1
C16H15O6N1,C20H23O8N1,Directed,103,,1,1
