reasult,count
-145.811077,1.0
-3.704702,1.0
212.126857,1.0
23.285067,1.0
-23.764798,1.0
100.14633,4.0
27.036051,6.0
127.906043,1.0
310.35995,14.0
73.51704,1.0
-156.274958,1.0
-332.398444,1.0
-8.200929,1.0
-72.060019,1.0
-122.03678,17.0
-13.909866,2.0
198.092581,1.0
362.39125,2.0
22.215061,1.0
200.163242,1.0
131.167399,3.0
-34.920748,2.0
-234.913767,1.0
34.314319,1.0
-39.842849,1.0
256.313,26.0
-64.139588,1.0
-274.178025,2.0
-241.204179,1.0
184.236859,3.0
282.32865,20.0
-142.19328,1.0
41.015316,2.0
279.338881,1.0
-401.752365,1.0
-151.829902,1.0
102.104465,18.0
-73.765193,1.0
-117.024835,1.0
-142.523702,1.0
186.271135,30.0
21.280181,1.0
80.189514,2.0
-280.16746,3.0
186.128966,1.0
5.295163,1.0
-338.763932,1.0
-45.972466,1.0
-308.699223,1.0
244.309629,1.0
-16.245372,2.0
-17.991939,3.0
178.314319,1.0
140.286785,2.0
-9.036719,2.0
-134.665675,1.0
70.114635,43.0
-178.989314,1.0
-471.813723,1.0
-100.924605,1.0
33.973802,1.0
2.103675,5.0
-0.005875,1.0
-326.655644,1.0
134.37012,1.0
-396.74042,1.0
138.895539,1.0
53.193003,1.0
246.219495,10.0
-42.116349,3.0
-20.182772,1.0
277.250461,3.0
174.180606,2.0
86.381137,1.0
-386.792455,1.0
-51.834987,1.0
260.329045,3.0
-81.922813,1.0
-313.683043,1.0
-50.000395,13.0
12.984016,2.0
57.991092,1.0
114.173864,1.0
256.134446,1.0
-168.524964,1.0
-9.999605,3.0
2.123938,2.0
-309.979208,1.0
42.28639,2.0
320.401815,1.0
-31.847661,1.0
-77.774496,1.0
19.015711,1.0
102.158609,5.0
12.359143,2.0
82.978948,1.0
12.242811,1.0
194.25509,2.0
30.300778,1.0
157.157428,1.0
-35.705765,1.0
278.539945,1.0
-448.406249,1.0
224.319799,2.0
116.22927,15.0
182.272849,3.0
-246.193658,1.0
182.191566,1.0
-117.813007,1.0
60.130285,59.0
-49.981769,1.0
-152.120115,2.0
26.338408,1.0
-3.991544,3.0
66.241276,2.0
-132.895809,1.0
2.963281,4.0
12.02113,3.0
83.025881,1.0
4.319009,1.0
-11.988116,1.0
-59.920704,1.0
63.896342,1.0
18.080831,1.0
-16.756599,1.0
-148.375188,1.0
180.241944,4.0
84.181925,4.0
-34.093505,1.0
-34.979599,10.0
-185.839222,2.0
102.19249,5.0
-362.728414,1.0
-32.022844,1.0
-83.181318,2.0
-384.697509,1.0
47.879828,2.0
-93.987721,3.0
150.090077,1.0
72.097271,1.0
76.342643,1.0
-78.282152,1.0
-86.090924,2.0
8.0626,27.0
-63.944142,1.0
173.152343,1.0
1.126185,1.0
-6.948299,11.0
56.796159,1.0
48.987387,2.0
118.066366,2.0
162.413304,1.0
-150.101961,1.0
-20.02034,1.0
93.827793,1.0
-494.484499,1.0
44.169251,1.0
110.236464,1.0
-74.890727,2.0
-121.030298,1.0
-35.788432,2.0
-114.105332,1.0
-119.94836,1.0
-511.077981,1.0
-55.920431,4.0
44.258913,1.0
-171.967776,1.0
159.118067,1.0
86.021525,1.0
66.365686,1.0
168.0939,1.0
-19.986459,3.0
170.164561,1.0
-139.98983,1.0
150.449689,1.0
-314.692029,1.0
-115.192278,1.0
40.822843,1.0
150.292265,1.0
-484.479019,1.0
-176.210644,1.0
-1.873481,1.0
-6.879551,1.0
37.913237,1.0
-52.034671,1.0
208.472928,1.0
143.167183,1.0
54.384312,1.0
8.163026,1.0
-20.196907,1.0
-75.873876,1.0
-279.00873,1.0
-424.846477,1.0
-63.858104,1.0
-38.102808,1.0
-196.702455,1.0
-65.033942,1.0
-151.880024,1.0
66.17136,1.0
-479.9296,1.0
-56.168384,2.0
147.223851,8.0
-203.010842,2.0
20.313924,1.0
-90.028324,2.0
47.109884,3.0
266.155181,1.0
60.311994,1.0
-65.810881,1.0
-10.979599,8.0
224.471214,1.0
174.23475,38.0
132.205559,4.0
16.28915,1.0
-100.118458,1.0
-84.431064,1.0
396.32396,1.0
97.288364,1.0
16.013541,2.0
-180.70754,1.0
-322.833925,1.0
-294.643817,1.0
-38.01565,9.0
-40.894928,1.0
-77.97418,7.0
-367.740359,1.0
94.031317,1.0
40.321513,1.0
-4.016045,1.0
82.084125,1.0
188.10486,2.0
-66.224637,1.0
37.982636,2.0
87.875212,1.0
-520.551789,1.0
-1.94288,38.0
-542.520884,1.0
-138.888615,1.0
318.386165,3.0
194.189062,1.0
30.086706,2.0
-511.051962,1.0
94.335449,1.0
120.308839,1.0
150.373548,1.0
-17.978202,1.0
90.013936,3.0
-144.766175,1.0
-84.61364,1.0
50.312605,1.0
148.182715,32.0
100.215729,5.0
-208.886884,1.0
-147.772583,2.0
-466.812326,1.0
19.347198,1.0
150.183977,1.0
284.19876,2.0
-84.769944,1.0
-242.881131,1.0
106.996238,1.0
-146.254223,1.0
-80.18701,1.0
0.16667,2.0
-244.966865,1.0
54.079964,1.0
90.14085,46.0
-74.085916,1.0
-55.93819,3.0
-37.724786,1.0
-526.525969,1.0
162.335176,2.0
31.936553,1.0
-224.10486,6.0
12.14554,5.0
174.125595,4.0
240.40611,1.0
-7.867407,1.0
-282.67234,1.0
210.183977,1.0
232.49808,1.0
-188.2504,1.0
-220.850499,1.0
-2.833212,1.0
190.469105,1.0
15.171694,1.0
-95.951731,1.0
-137.047679,3.0
-114.958196,1.0
-185.921673,1.0
-119.85446,1.0
194.330364,1.0
194.257594,3.0
14.101688,1.0
300.193675,2.0
-141.809167,1.0
-154.02661,12.0
136.14633,10.0
3.994915,5.0
-113.788233,1.0
-178.029981,1.0
-109.964877,3.0
-37.907362,1.0
-166.803549,2.0
12.165803,2.0
216.30283,2.0
-46.023239,1.0
110.270345,1.0
150.158609,3.0
-266.677425,1.0
128.28091,2.0
73.913237,3.0
189.467981,1.0
60.112526,5.0
360.360345,9.0
86.283613,1.0
-183.787187,1.0
86.076536,3.0
-222.212969,1.0
212.27153,7.0
254.37012,2.0
79.993201,1.0
-180.53149,1.0
-91.009185,1.0
-182.326993,1.0
-26.82647,1.0
242.315109,5.0
-61.77621,1.0
-2.048664,1.0
96.401872,1.0
124.29187,1.0
176.371439,1.0
164.192885,16.0
-19.707479,1.0
-162.580427,1.0
29.110552,2.0
124.194599,1.0
-102.867485,1.0
-91.786124,1.0
-158.504229,1.0
-280.766965,1.0
-525.871039,1.0
59.332216,1.0
-73.982636,4.0
103.797357,1.0
297.349446,1.0
136.952659,1.0
-167.792272,1.0
80.116744,3.0
1.89124,1.0
94.135765,17.0
-40.049926,1.0
29.036446,1.0
-140.850303,1.0
336.357841,1.0
112.179344,5.0
-0.995249,5.0
13.750407,1.0
-95.847934,2.0
-100.924136,1.0
22.263546,1.0
-179.276085,1.0
-586.077249,1.0
160.076931,1.0
288.56068,1.0
357.349446,1.0
-45.875195,1.0
-91.9687,1.0
150.467448,1.0
158.200079,2.0
146.428286,1.0
-26.909137,2.0
-228.043127,1.0
-102.031695,24.0
2.876123,1.0
-84.148911,1.0
198.144221,1.0
114.177235,54.0
-439.768015,1.0
192.2817,8.0
-378.752972,1.0
3.925516,1.0
-32.026215,4.0
59.052369,1.0
-87.212618,1.0
256.328255,1.0
11.782557,1.0
69.954707,1.0
-280.254834,1.0
50.228602,1.0
74.3674,1.0
122.07904,1.0
108.11503,13.0
36.057515,15.0
94.15102,25.0
210.467448,1.0
-101.745322,2.0
75.093566,12.0
-69.127248,1.0
382.344695,3.0
77.003432,1.0
60.202188,3.0
-317.02438,1.0
-19.717376,1.0
120.35447,1.0
-148.109945,4.0
-51.886627,5.0
103.848528,1.0
98.251719,3.0
-43.853019,2.0
68.17763,1.0
162.423201,1.0
-45.733893,1.0
-68.149758,2.0
192.353603,1.0
-94.184034,2.0
7.314653,1.0
-362.758057,1.0
272.32317,1.0
-102.013936,1.0
-157.988511,1.0
-511.952444,1.0
-59.972861,1.0
76.386421,1.0
-35.76056,1.0
74.01565,1.0
76.179344,3.0
102.071451,1.0
180.185296,1.0
-59.785928,1.0
-539.85683,1.0
